0.2,0.1,25,0.24,0.24,1.15,1.14
0.2,0.1,40,0.4,0.4,1.17,1.16
0.2,0.1,60,0.55,0.54,1.18,1.19
0.2,0.2,10,0.47,0.4,1.15,1.12
0.2,0.2,25,0.61,0.61,1.08,1.09
0.2,0.2,40,0.65,0.65,1.12,1.11
0.2,0.2,60,0.66,0.65,1.13,1.11
0.2,0.5,10,0.68,0.69,0.89,0.88
0.2,0.5,25,0.69,0.69,0.9,0.89
0.2,0.5,40,0.69,0.69,0.89,0.89
0.2,0.5,60,0.69,0.69,0.89,0.89
0.2,0.8,10,0.74,0.75,0.75,0.75
0.2,0.8,25,0.72,0.71,0.79,0.79
0.2,0.8,40,0.72,0.72,0.77,0.78
0.2,0.8,60,0.71,0.71,0.77,0.77
0.4,0.1,60,0.4,0.4,1.52,1.51
0.4,0.2,25,0.57,0.57,1.28,1.27
0.4,0.2,40,0.62,0.62,1.31,1.31
0.4,0.2,60,0.63,0.62,1.29,1.28
0.4,0.5,10,0.75,0.75,0.97,0.94
0.4,0.5,25,0.76,0.76,0.93,0.93
0.4,0.5,40,0.77,0.77,0.93,0.93
0.4,0.5,60,0.78,0.77,0.94,0.94
0.4,0.8,10,0.63,0.62,0.75,0.7
0.4,0.8,25,0.74,0.75,0.73,0.72
0.4,0.8,40,0.76,0.76,0.76,0.75
0.4,0.8,60,0.76,0.76,0.74,0.74
0.6,0.1,10,0.35,0.37,1.57,1.53
0.6,0.2,10,0.44,0.45,1.53,1.49
0.6,0.2,25,0.61,0.66,1.57,1.58
0.6,0.2,40,0.69,0.69,1.59,1.58
0.6,0.2,60,0.75,0.75,1.6,1.59
0.6,0.5,10,0.85,0.85,1.06,1.03
0.6,0.5,25,0.9,0.89,1.04,1.03
0.6,0.5,40,0.92,0.91,1.03,1.02
0.6,0.5,60,0.9,0.9,1.04,1.02
0.6,0.8,10,0.84,0.86,0.81,0.76
0.6,0.8,40,0.86,0.86,0.67,0.67
0.6,0.8,60,0.86,0.86,0.68,0.68
0.8,0.1,10,0.42,0.4,1.53,1.47
0.8,0.2,10,0.42,0.4,1.53,1.47
0.8,0.2,25,0.61,0.62,1.78,1.75
0.8,0.2,40,0.81,0.8,1.79,1.77
0.8,0.2,60,0.89,0.88,1.78,1.77
0.8,0.5,10,0.98,0.98,1.11,1.08
0.8,0.5,25,1.05,1.05,1.09,1.07
0.8,0.5,40,1.06,1.05,1.09,1.08
0.8,0.5,60,1.05,1.06,1.08,1.08
0.8,0.8,10,0.87,0.89,0.83,0.79
0.8,0.8,25,0.98,0.97,0.85,0.83
0.8,0.8,40,0.96,0.95,0.81,0.8
0.8,0.8,60,0.96,0.96,0.8,0.79
0.2,0.128,10,0.5,0.37,1.13,1.13
0.2,0.108,25,0.5,0.5,1.19,1.16
0.2,0.105,40,0.45,0.45,1.16,1.16
0.2,0.104,60,0.57,0.57,1.17,1.17
0.2,0.211,10,0.5,0.5,1.07,1.07
0.2,0.204,25,0.63,0.63,1.09,1.08
0.2,0.203,40,0.66,0.66,1.12,1.11
0.2,0.202,60,0.68,0.67,1.12,1.12
0.2,0.504,10,0.69,0.7,0.88,0.87
0.2,0.502,25,0.68,0.68,0.88,0.88
0.2,0.501,40,0.69,0.69,0.89,0.88
0.2,0.501,60,0.69,0.69,0.88,0.88
0.2,0.803,10,0.71,0.71,0.77,0.76
0.2,0.801,25,0.71,0.71,0.75,0.75
0.2,0.801,40,0.7,0.7,0.72,0.72
0.2,0.8,60,0.71,0.71,0.74,0.74
0.4,0.163,10,0.37,0.38,1.34,1.33
0.4,0.121,25,0.33,0.33,1.44,1.43
0.4,0.11,40,0.38,0.39,1.47,1.48
0.4,0.107,60,0.45,0.45,1.5,1.5
0.4,0.221,10,0.6,0.59,1.25,1.24
0.4,0.209,25,0.63,0.6,1.31,1.28
0.4,0.205,40,0.64,0.63,1.3,1.3
0.4,0.204,60,0.66,0.66,1.31,1.3
0.4,0.509,10,0.75,0.76,0.96,0.96
0.4,0.504,25,0.78,0.78,0.95,0.94
0.4,0.502,40,0.78,0.78,0.93,0.93
0.4,0.501,60,0.78,0.78,0.92,0.91
0.4,0.806,10,0.72,0.73,0.75,0.74
0.4,0.802,25,0.77,0.76,0.75,0.75
0.4,0.801,40,0.76,0.76,0.75,0.75
0.4,0.801,60,0.76,0.76,0.72,0.72
0.6,0.194,10,0.37,0.38,1.54,1.5
0.6,0.136,25,0.41,0.4,1.77,1.75
0.6,0.12,40,0.39,0.39,1.85,1.84
0.6,0.11,60,0.45,0.45,1.94,1.94
0.6,0.242,10,0.55,0.55,1.42,1.4
0.6,0.213,25,0.67,0.67,1.54,1.52
0.6,0.208,40,0.74,0.73,1.57,1.56
0.6,0.205,60,0.78,0.78,1.58,1.58
0.6,0.514,10,0.88,0.86,1.03,0.99
0.6,0.505,25,0.91,0.91,1.04,1.03
0.6,0.503,40,0.91,0.91,1.03,1.03
0.6,0.502,60,0.9,0.9,1.04,1.04
0.6,0.809,10,0.86,0.85,0.78,0.75
0.6,0.803,25,0.85,0.84,0.77,0.76
0.6,0.802,40,0.86,0.85,0.76,0.76
0.6,0.801,60,0.86,0.86,0.75,0.75
0.8,0.222,10,0.38,0.47,1.47,1.44
0.8,0.15,25,0.32,0.33,2.03,2
0.8,0.128,40,0.34,0.35,2.17,2.16
0.8,0.117,60,0.38,0.37,2.29,2.3
